,X,biomarker_ID,main_Xref,assessed_biomarker_entity,biomarker_status,best_biomarker_type,specimen_type,loinc_code,condition_name,assessed_entity_type,evidence_source,notes,system,DOID,Names,rsID
281,253,,dbSNP:rs17094983,rs17094983 mutation in  (LINC01500) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC01500,GRCh38,,9256,,rs17094983
282,254,,dbSNP:rs7014346,rs7014346 mutation in  (POU5F1B) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=POU5F1B,UPKB:Q06416|GRCh38 ,,9256,,rs7014346
283,255,,dbSNP:rs7014346,rs7014346 mutation in  ( PCAT1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= PCAT1,GRCh38,,9256,,rs7014346
284,256,,dbSNP:rs7014346,rs7014346 mutation in  ( CASC8) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= CASC8,GRCh38,,9256,,rs7014346
285,257,,dbSNP:rs3802842,rs3802842 mutation in  (COLCA2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=COLCA2,GRCh38,,9256,,rs3802842
286,258,,dbSNP:rs3802842,rs3802842 mutation in Colorectal cancer associated 1 ( COLCA1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= COLCA1,UPKB:W0FBW3|GRCh38 ,,9256,Colorectal cancer associated 1,rs3802842
287,259,,dbSNP:rs4939827,rs4939827 mutation in Mothers against decapentaplegic homolog 7 (SMAD7) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SMAD7,UPKB:K7EKF0|GRCh38 ,,9256,Mothers against decapentaplegic homolog 7,rs4939827
288,260,,dbSNP:rs7229639,rs7229639 mutation in Mothers against decapentaplegic homolog 7 (SMAD7) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SMAD7,UPKB:K7EKF0|GRCh38 ,,9256,Mothers against decapentaplegic homolog 7,rs7229639
289,261,,dbSNP:rs6989010,rs6989010 mutation in  (LINC00681 - TRMT9B) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC00681 - TRMT9B,GRCh38,,9256,,rs6989010
290,262,,dbSNP:rs7999699,"rs7999699 mutation in Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA) (SUCLA2) ",presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SUCLA2,UPKB:Q9P2R7|GRCh38 ,,9256,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)",rs7999699
291,263,,dbSNP:rs11671104,rs11671104 mutation in  (RAD54L2P1 - LINC01785) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RAD54L2P1 - LINC01785,GRCh38,,9256,,rs11671104
292,264,,dbSNP:rs7248888,rs7248888 mutation in Paraneoplastic antigen-like protein 8A (PNMA8A) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=PNMA8A,UPKB:M0R388|GRCh38 ,,9256,Paraneoplastic antigen-like protein 8A,rs7248888
293,265,,dbSNP:rs2593957,rs2593957 mutation in  (MORC1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MORC1,UPKB:Q86VD1|GRCh38 ,,9256,,rs2593957
294,266,,dbSNP:rs12534701,rs12534701 mutation in Dipeptidyl aminopeptidase-like protein 6 (DPPX) (Dipeptidyl aminopeptidase-related protein) (Dipeptidyl peptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl peptidase VI) (DPP VI) (DPP6) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=DPP6,UPKB:P42658|GRCh38 ,,9256,Dipeptidyl aminopeptidase-like protein 6 (DPPX) (Dipeptidyl aminopeptidase-related protein) (Dipeptidyl peptidase 6) (Dipeptidyl peptidase IV-like protein) (Dipeptidyl peptidase VI) (DPP VI),rs12534701
295,267,,dbSNP:rs4855695,rs4855695 mutation in Uncharacterized protein C3orf85 (C3orf85) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=C3orf85,UPKB:A0A1B0GTC6|GRCh38 ,,9256,Uncharacterized protein C3orf85,rs4855695
296,268,,dbSNP:rs4143094,rs4143094 mutation in Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3) (GATA3) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GATA3,UPKB:P23771|GRCh38 ,,9256,Trans-acting T-cell-specific transcription factor GATA-3 (GATA-binding factor 3),rs4143094
297,269,,dbSNP:rs2901879,rs2901879 mutation in  (LINC01798 - DNMT3AP1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC01798 - DNMT3AP1,GRCh38,,9256,,rs2901879
298,270,,dbSNP:rs1871438,rs1871438 mutation in  (NPM1P5 - ST8SIA2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NPM1P5 - ST8SIA2,GRCh38,,9256,,rs1871438
299,271,,dbSNP:rs1370916,rs1370916 mutation in  (NA - TNS3) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - TNS3,GRCh38,,9256,,rs1370916
300,272,,dbSNP:rs4849303,rs4849303 mutation in Acyl-coenzyme A oxidase-like protein (Acyl-CoA oxidase-like protein) (EC 1.3.3.-) (ACOXL) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ACOXL,UPKB:Q9NUZ1|GRCh38 ,,9256,Acyl-coenzyme A oxidase-like protein (Acyl-CoA oxidase-like protein) (EC 1.3.3.-),rs4849303
301,273,,dbSNP:rs35509282,rs35509282 mutation in  (MTHFD2P4 - NA) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MTHFD2P4 - NA,GRCh38,,9256,,rs35509282
302,274,,dbSNP:rs6687758,rs6687758 mutation in  (LINC02474 - LINC01705) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC02474 - LINC01705,GRCh38,,9256,,rs6687758
303,275,,dbSNP:rs10795668,rs10795668 mutation in  (RNA5SP299 - NA) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNA5SP299 - NA,GRCh38,,9256,,rs10795668
304,276,,dbSNP:rs10411210,rs10411210 mutation in Rhophilin-2 (76 kDa RhoB effector protein) (GTP-Rho-binding protein 2) (p76RBE) (RHPN2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RHPN2,UPKB:Q8IUC4|GRCh38 ,,9256,Rhophilin-2 (76 kDa RhoB effector protein) (GTP-Rho-binding protein 2) (p76RBE),rs10411210
305,277,,dbSNP:rs4948317,rs4948317 mutation in Protein bicaudal C homolog 1 (Bic-C) (BICC1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=BICC1,UPKB:Q9H694|GRCh38 ,,9256,Protein bicaudal C homolog 1 (Bic-C),rs4948317
306,278,,dbSNP:rs704017,rs704017 mutation in  (ZMIZ1-AS1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ZMIZ1-AS1,GRCh38,,9256,,rs704017
307,279,,dbSNP:rs12412391,rs12412391 mutation in  (LINC01475) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC01475,GRCh38,,9256,,rs12412391
308,280,,dbSNP:rs11196172,rs11196172 mutation in Transcription factor 7-like 2 (TCF7L2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TCF7L2,UPKB:A0A0A0MTL7|GRCh38 ,,9256,Transcription factor 7-like 2,rs11196172
309,281,,dbSNP:rs174537,rs174537 mutation in Myelin regulatory factor (MYRF) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MYRF,UPKB:A0A6Q8PHM1|GRCh38 ,,9256,Myelin regulatory factor,rs174537
310,282,,dbSNP:rs174537,rs174537 mutation in Transmembrane protein 258 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258) ( TMEM258) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= TMEM258,UPKB:F5GWH5|GRCh38 ,,9256,Transmembrane protein 258 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit TMEM258),rs174537
311,283,,dbSNP:rs12309274,rs12309274 mutation in non-specific serine/threonine protein kinase (EC 2.7.11.1) (WNK1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=WNK1,UPKB:F5GWT4|GRCh38 ,,9256,non-specific serine/threonine protein kinase (EC 2.7.11.1),rs12309274
312,284,,dbSNP:rs10849432,rs10849432 mutation in  (ATP5MFP5 - PLEKHG6) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ATP5MFP5 - PLEKHG6,GRCh38,,9256,,rs10849432
313,285,,dbSNP:rs12603526,rs12603526 mutation in Nucleoredoxin (NXN) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NXN,UPKB:A0A0C4DGI2|GRCh38 ,,9256,Nucleoredoxin,rs12603526
314,286,,dbSNP:rs12603526,rs12603526 mutation in Nucleoredoxin ( NXN) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= NXN,UPKB:A0A0C4DGI2|GRCh38 ,,9256,Nucleoredoxin,rs12603526
315,287,,dbSNP:rs12603526,rs12603526 mutation in Nucleoredoxin ( NXN) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= NXN,UPKB:A0A0C4DGI2|GRCh38 ,,9256,Nucleoredoxin,rs12603526
316,288,,dbSNP:rs1800469,rs1800469 mutation in Transmembrane protein 91 (Dispanin subfamily C member 3) (DSPC3) (TMEM91) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TMEM91,UPKB:Q6ZNR0|GRCh38 ,,9256,Transmembrane protein 91 (Dispanin subfamily C member 3) (DSPC3),rs1800469
317,289,,dbSNP:rs647161,rs647161 mutation in  (C5orf66) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=C5orf66,GRCh38,,9256,,rs647161
318,290,,dbSNP:rs10752881,rs10752881 mutation in  (RNU6-41P - LAMC1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNU6-41P - LAMC1,GRCh38,,9256,,rs10752881
319,291,,dbSNP:rs6469656,rs6469656 mutation in  (NA - EIF3H) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - EIF3H,GRCh38,,9256,,rs6469656
320,292,,dbSNP:rs6983267,rs6983267 mutation in  (POU5F1B) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=POU5F1B,UPKB:Q06416|GRCh38 ,,9256,,rs6983267
321,293,,dbSNP:rs6983267,rs6983267 mutation in  ( CCAT2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= CCAT2,GRCh38,,9256,,rs6983267
322,294,,dbSNP:rs6983267,rs6983267 mutation in  ( CASC8) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= CASC8,GRCh38,,9256,,rs6983267
323,295,,dbSNP:rs6983267,rs6983267 mutation in  ( PCAT1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= PCAT1,GRCh38,,9256,,rs6983267
324,296,,dbSNP:rs3802842,rs3802842 mutation in  (COLCA2) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=COLCA2,GRCh38,,9256,,rs3802842
325,297,,dbSNP:rs3802842,rs3802842 mutation in Colorectal cancer associated 1 ( COLCA1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= COLCA1,UPKB:W0FBW3|GRCh38 ,,9256,Colorectal cancer associated 1,rs3802842
326,298,,dbSNP:rs10774214,rs10774214 mutation in  (CCND2-AS1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CCND2-AS1,GRCh38,,9256,,rs10774214
327,299,,dbSNP:rs7229639,rs7229639 mutation in Mothers against decapentaplegic homolog 7 (SMAD7) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SMAD7,UPKB:K7EKF0|GRCh38 ,,9256,Mothers against decapentaplegic homolog 7,rs7229639
328,300,,dbSNP:rs2423279,rs2423279 mutation in  (NA - HAO1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NA - HAO1,GRCh38,,9256,,rs2423279
329,301,,dbSNP:rs1321311,rs1321311 mutation in  (RNU1-88P - Y_RNA) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNU1-88P - Y_RNA,GRCh38,,9256,,rs1321311
330,302,,dbSNP:rs3824999,rs3824999 mutation in DNA polymerase delta subunit 3 (POLD3) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=POLD3,UPKB:E9PNC0|GRCh38 ,,9256,DNA polymerase delta subunit 3,rs3824999
331,303,,dbSNP:rs5934683,rs5934683 mutation in G-protein coupled receptor 143 (GPR143) ,presence of,risk_biomarker,blood (UN:0000178),48975-7,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GPR143,UPKB:A0A5J6CXI4|GRCh38 ,Bld/Tiss,9256,G-protein coupled receptor 143,rs5934683
332,304,,dbSNP:rs11979158,rs11979158 mutation in Receptor protein-tyrosine kinase (EC 2.7.10.1) (EGFR) ,presence of,risk_biomarker,blood (UN:0000178),21665-5,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=EGFR,UPKB:E9PFD7|GRCh38 ,Bld/Tiss,1319,Receptor protein-tyrosine kinase (EC 2.7.10.1),rs11979158
333,305,,dbSNP:rs4295627,rs4295627 mutation in  (CCDC26) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CCDC26,UPKB:Q8TAB7|GRCh38 ,,1319,,rs4295627
334,306,,dbSNP:rs2157719,rs2157719 mutation in  (CDKN2B-AS1) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CDKN2B-AS1,GRCh38,,1319,,rs2157719
335,307,,dbSNP:rs2736100,rs2736100 mutation in Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit) (TERT) ,presence of,risk_biomarker,tissue (UN:0000479),95778-7,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TERT,UPKB:F6MZ67|GRCh38 ,Tiss,1319,Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit),rs2736100
336,308,,dbSNP:rs498872,rs498872 mutation in Pleckstrin homology-like domain family B member 1 (PHLDB1) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=PHLDB1,UPKB:A0A087WTZ7|GRCh38 ,,1319,Pleckstrin homology-like domain family B member 1,rs498872
337,309,,dbSNP:rs6010620,rs6010620 mutation in Regulator of telomere elongation helicase 1 (EC 3.6.4.12) (RTEL1) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RTEL1,UPKB:R4IXY3|GRCh38 ,,1319,Regulator of telomere elongation helicase 1 (EC 3.6.4.12),rs6010620
338,310,,dbSNP:rs6010620,rs6010620 mutation in  ( RTEL1-TNFRSF6B) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= RTEL1-TNFRSF6B,GRCh38,,1319,,rs6010620
339,311,,dbSNP:rs2252586,rs2252586 mutation in  (SEC61G-DT - NA) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SEC61G-DT - NA,GRCh38,,1319,,rs2252586
340,312,,,CASC20,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=No mapped genes x  CASC20,GRCh38,,9256,,
341,313,,,RNA5SP299,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=No mapped genes x RNA5SP299 - N/A,GRCh38,,9256,,
342,314,,,  SCG5 - GREM1,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=No mapped genes x SCG5 - GREM1,GRCh38,,9256,,
343,315,,,  LINC02474 - LINC01705,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=No mapped genes x LINC02474 - LINC01705,GRCh38,,9256,,
344,316,,,  LINC02474 - LINC01705,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=No mapped genes x LINC02474 - LINC01705,GRCh38,,9256,,
345,317,,,  LARP4 - DIP2B,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=No mapped genes x LARP4 - DIP2B,GRCh38,,9256,,
346,318,,,  LAMA5,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=No mapped genes x LAMA5,GRCh38,,9256,,
347,319,,dbSNP:rs2736100,rs2736100 mutation in Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit) (TERT) ,presence of,risk_biomarker,tissue (UN:0000479),95778-7,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TERT,UPKB:F6MZ67|GRCh38 ,Tiss,1319,Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit),rs2736100
348,320,,dbSNP:rs2889829,rs2889829 mutation in  (CTAGE12P) ,presence of,risk_biomarker,,,cancer (DOID:162),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CTAGE12P,GRCh38,,162,,rs2889829
349,321,,dbSNP:rs10993994,rs10993994 mutation in Beta-microseminoprotein (MSMB) ,presence of,risk_biomarker,,,cancer (DOID:162),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MSMB,UPKB:A0A590UJG9|GRCh38 ,,162,Beta-microseminoprotein,rs10993994
350,322,,dbSNP:rs10424878,rs10424878 mutation in Kallikrein-2 (EC 3.4.21.35) (Glandular kallikrein-1) (hGK-1) (Tissue kallikrein-2) (KLK2) ,presence of,risk_biomarker,,,cancer (DOID:162),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=KLK2,UPKB:P20151|GRCh38 ,,162,Kallikrein-2 (EC 3.4.21.35) (Glandular kallikrein-1) (hGK-1) (Tissue kallikrein-2),rs10424878
351,323,,dbSNP:rs1933755,rs1933755 mutation in  (Y_RNA - NA) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=Y_RNA - NA,GRCh38,,9256,,rs1933755
352,324,,dbSNP:rs6855885,rs6855885 mutation in Serine-rich coiled-coil domain-containing protein 1 (CCSER1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CCSER1,UPKB:A0A3B3ITL2|GRCh38 ,,9256,Serine-rich coiled-coil domain-containing protein 1,rs6855885
353,325,,dbSNP:rs1028166,rs1028166 mutation in  (TENM3-AS1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TENM3-AS1,GRCh38,,9256,,rs1028166
354,326,,dbSNP:rs1920116,rs1920116 mutation in  (LRRC31) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LRRC31,UPKB:Q6UY01|GRCh38 ,,1319,,rs1920116
355,327,,dbSNP:rs2736100,rs2736100 mutation in Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit) (TERT) ,presence of,risk_biomarker,tissue (UN:0000479),95778-7,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TERT,UPKB:F6MZ67|GRCh38 ,Tiss,1319,Telomerase reverse transcriptase (EC 2.7.7.49) (Telomerase catalytic subunit),rs2736100
356,328,,dbSNP:rs6010620,rs6010620 mutation in Regulator of telomere elongation helicase 1 (EC 3.6.4.12) (RTEL1) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RTEL1,UPKB:R4IXY3|GRCh38 ,,1319,Regulator of telomere elongation helicase 1 (EC 3.6.4.12),rs6010620
357,329,,dbSNP:rs6010620,rs6010620 mutation in  ( RTEL1-TNFRSF6B) ,presence of,risk_biomarker,,,brain cancer (DOID:1319),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= RTEL1-TNFRSF6B,GRCh38,,1319,,rs6010620
358,330,,dbSNP:rs10505477,rs10505477 mutation in  (POU5F1B) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=POU5F1B,UPKB:Q06416|GRCh38 ,,9256,,rs10505477
359,331,,dbSNP:rs10505477,rs10505477 mutation in  ( PCAT1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= PCAT1,GRCh38,,9256,,rs10505477
360,332,,dbSNP:rs10505477,rs10505477 mutation in  ( CASC8) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= CASC8,GRCh38,,9256,,rs10505477
361,333,,dbSNP:rs17102823,rs17102823 mutation in  (BAZ1A - SRP54-AS1) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=BAZ1A - SRP54-AS1,GRCh38,,9256,,rs17102823
362,334,,dbSNP:rs7912831,rs7912831 mutation in  (RNA5SP299 - NA) ,presence of,risk_biomarker,,,colorectal cancer (DOID:9256),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNA5SP299 - NA,GRCh38,,9256,,rs7912831
363,335,,dbSNP:rs999737,rs999737 mutation in DNA repair protein RAD51 homolog 2 (RAD51B) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RAD51B,UPKB:A0A0A0MS18|GRCh38 ,,1612,DNA repair protein RAD51 homolog 2,rs999737
364,336,,dbSNP:rs2747652,rs2747652 mutation in Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1) (ESR1) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ESR1,UPKB:G4XH65|GRCh38 ,,1612,Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1),rs2747652
365,337,,dbSNP:rs6562760,rs6562760 mutation in  (RNY1P8 - MARK2P12) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNY1P8 - MARK2P12,GRCh38,,1612,,rs6562760
366,338,,dbSNP:rs6678914,rs6678914 mutation in Leucine-rich repeat-containing G-protein-coupled receptor 6 (LGR6) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LGR6,UPKB:D6R9F0|GRCh38 ,,1612,Leucine-rich repeat-containing G-protein-coupled receptor 6,rs6678914
367,339,,dbSNP:rs4577244,rs4577244 mutation in WD repeat-containing protein 43 (WDR43) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=WDR43,UPKB:C9IZK7|GRCh38 ,,1612,WD repeat-containing protein 43,rs4577244
368,340,,dbSNP:rs12710696,rs12710696 mutation in  (LINC01376) ,presence of,risk_biomarker,,,breast cancer (DOID:1612),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC01376,GRCh38,,1612,,rs12710696
